en,dz_preferred,confidence,coverage,carriers,dz_candidates,review,dz_variants,notes
body,གཟུགས་,medium,0.73,141,གཟུགས་(0.73) | གི་(0.33) | ཀྱི་(0.16),YES,ལུས་རྟེན་ | རོ་ | འདུས་ཚོགས་,DDC p.847 noun; agrees with corpus
head,མགུ་ཏོ་,dict,0.47,321,མགུ་ཏོ་(0.47) | ནུག(0.19) | ཁོ་(0.25),,མགུ་ | མགོ་ | མགོ་འཛིན་,DDC p.147 noun; agrees with corpus
hair,སྐྱ་,medium,0.69,374,སྐྱ་(0.69) | གི་(0.24) | ཁྱོད་(0.21),YES,སྐྲ་ | སྤུ་ | བ་སྤུ་,DDC p.38 noun [སྐྲ།]; agrees with corpus
face,གདོང་,medium,0.57,284,གདོང་(0.57) | མོ་(0.18) | གི་(0.31),YES - dictionary gives བྱད།,གདོང་ངོས་ | བཞིན་རས་ | ངོས་,DDC p.611 noun; corpus kept (medium)
forehead,དཔྱལཝ་,high,1.00,22,དཔྱལཝ་(1.00) | རྔུལ་ནག་(0.18) | འུ་བཀལ་(0.18),,ཐོད་པ་ | དབུ་ཐོད་,DDC p.535 noun; agrees with corpus
eye,མིག་ཏོ་,medium,0.79,530,མིག་ཏོ་(0.79) | མོ་(0.16) | ནུག(0.16),YES,ཁབ་མིག་ | སོན་མིག་ | ལྟ་ལུགས་,DDC p.684 noun; agrees with corpus
eyebrow,མིག་སྤུ་,dict,0.29,7,མིག་སྤུ་(0.29) | མིག་རྫིམ་(0.43) | འབལ་(0.29),,མིག་རྫིམ་ | སྨིན་མ་ | སྤྱན་རྫིམ་,DDC p.685 noun; agrees with corpus
ear,རྣམ་ཅོ་,medium,0.67,103,རྣམ་ཅོ་(0.67) | ཡོད(0.21) | གི་(0.29),YES,རྣ་ | རྣཝ་ | བཤོསཔ་,DDC p.513 noun; agrees with corpus
nose,ལྷ་པ་,high,0.81,90,ལྷ་པ་(0.81) | ངེའི་(0.16) | ཡོད(0.20),,སྣ་ | དྲི་ཚོར་ | གནམ་གྲུའི་ལྷ་པ་,DDC p.1074 noun; agrees with corpus
mouth,ཁ་,medium,0.59,92,ཁ་(0.59) | སྦེ་(0.18) | ནང་(0.24),YES - dictionary gives འཛུལ་ཁ།,ཧོད་ཁ་ | འཛུལ་སྒོ་ | ཞལ་,DDC p.794 noun; corpus kept (medium)
lip,མཆུ་,dict,0.23,26,མཆུ་(0.23) | ཡ་མཆུ་(0.19) | ཁ་མཆུ་(0.19),,ཁའི་མཆུ་ | ཞལ་མཆུ་ | ཁ་,DDC p.262 noun; agrees with corpus
tooth,སོ་,dict,0.18,34,ནཝ་(0.18) | སོ་(0.74) | ངེའི་(0.18),,ཚེམས་ | ཁ་,DDC p.1022 noun [ཁ་རུས།]; replaced corpus guess ནཝ་
tongue,ལྕེ་,medium,0.58,38,ལྕེ་(0.58) | ཁོ་རའི་(0.16) | ཀྱི་(0.21),YES,ལྕེ་ཤ་ | ལྷམ་ལྕེ་ | ཇུ་ཏའི་ལྕེ་,DDC p.239 noun; agrees with corpus
chin,མ་མགལ་,dict,0.27,11,མཁལ་གུར་(0.27) | མཁལ་(0.73) | རྨེན་འབྲས་(0.18),check - corpus proposed something else,མ་མཁལ་,DDC p.660 noun; replaced corpus guess མཁལ་གུར་
cheek,ཟ་ལྟབ་,high,0.84,43,ཟ་ལྟབ་(0.84) | མིག་ཆུ་(0.30) | མར་(0.30),YES - dictionary gives མཁུར་ཏོ།,མཁུར་ཚོས་ | ཝ་གམ་ | ཞལ་འགྲམ་,DDC p.93 noun; corpus kept (high)
neck,ལྟག་ཀོ་,medium,0.54,26,ལྟག་ཀོ་(0.54) | ཨོལ་ལྐོག་(0.15) | གུ་(0.27),YES,སྐེ་ | ཨོལ་རས་ | མགྲིན་པ་,DDC p.334 noun; agrees with corpus
throat,ལྐོདམ་,medium,0.50,32,ལྐོདམ་(0.50) | ཨོལ་ལྐོག་(0.16) | ངེའི་(0.28),YES - dictionary gives ཨོལ་ལྐོག,མགྲིན་པ་,DDC p.1095 noun; corpus kept (medium)
shoulder,ཕྱག་ལྟག་,high,0.88,74,ཕྱག་ལྟག་(0.88) | གུར་(0.20) | ལགཔ་(0.18),,གཉའ་ | དཔུངམ་ | དཔུང་བཀབ་,DDC p.573 noun; agrees with corpus
arm,ལག་ངར་,dict,0.46,207,ལག་ངར་(0.46) | ལགཔ་(0.20) | ངེའི་(0.18),,དམག་གི་གྲ་སྒྲིག་ | ཡན་ལག་,DDC p.942 noun; agrees with corpus
elbow,ཀི་ལི་,medium,0.73,11,ཀི་ལི་(0.73) | པུས་མོ་(0.18) | འབྲི་ཁྲི་(0.27),YES,ཟུར་ཁུག་དབྱིབས་,DDC p.2 noun; agrees with corpus
hand,ལགཔ་,medium,0.70,740,ལགཔ་(0.70) | ཁོ་(0.18) | གི་(0.18),YES,ལག་པ་ | ཕྱག་ | ལག་མདའ་,DDC p.947 noun [གཟུགས་ཀྱི་ཆ་ཤས།]; agrees with corpus
finger,མཛུབ་མོ་,medium,0.65,92,མཛུབ་མོ་(0.65) | ཡི(0.32) | གིས་(0.58),YES,མཛུབ་འདོགས་ | མཛུབ་ནོམ་ | ཉེས་ཁ་,DDC p.788 noun; agrees with corpus
thumb,ཨམ་མཐེ་བོང་,dict,0.35,20,ཨམ་མཐེ་བོང་(0.35) | འོག་(0.15) | དང་(0.35),,མཐེབ་ཤུབས་ | མཐེ་བོང་,DDC p.1087 noun; agrees with corpus
nail,ལྕགས་གཟེར་,dict,0.23,35,ལྕགས་གཟེར་(0.23) | སེན་མོ་(0.43) | ཚུ་(0.20),,སེན་མོ་ | གཟེར་ | ར་ཁུངས་སྟོན་པ་,DDC p.237 noun; agrees with corpus
chest,བྱང་ཁོག་,medium,0.68,25,བྱང་ཁོག་(0.68) | ན་ཟུག་(0.20) | གུ་(0.16),YES,སྒྲོམ་,DDC p.610 noun; agrees with corpus
breast,བྱང་ཁོག་,dict,0.21,14,དབུར(0.21) | བྱང་ཁོག་(0.29) | བྱ་ཤ་(0.21),,ཨོམ་,DDC p.610 noun; replaced corpus guess དབུར
back,ལོག་,medium,0.62,1760,ལོག་(0.62) | འོང་(0.20) | ནང་(0.17),YES - dictionary gives སྒལཔ།,སྒལ་ཏོ་ | རྒྱབ་སྲུང་ | རྒྱབ་,DDC p.185 noun; corpus kept (medium)
waist,སྐེད་པ་,dict,0.22,9,རྐེདཔ་(0.22) | སྐེདཔ་(0.44) | དམ་དྲགས་(0.22),check - corpus proposed something else,སྐུ་སྐེད་,DDC p.37 noun [གཟུགས་ཀྱི་ཆ་ཤས།]; replaced corpus guess རྐེདཔ་
stomach,ཕོཝ་,medium,0.61,33,ཕོཝ་(0.61) | སར་(0.15) | ངེའི་(0.21),YES,གྱོདཔ་ | ཕོ་ཅུངམ་ | སྐུ་ཕོ་,DDC p.571 noun [ལྟོ་བ།]; agrees with corpus
belly,ཕོཝ་,dict,0.29,7,གནོད་ཉེན་(0.29) | ཕོཝ་(0.71) | ལས་གཡོགཔ་(0.29),,ཁོག་པ་ | སྐུ་ཕོ་,DDC p.571 noun [ལྟོ་བ།]; replaced corpus guess གནོད་ཉེན་
hip,སྐེད་པ་,dict,0.20,5,ཧིཔ་ཧོཔ་(0.20) | སྐེད་པ་(0.20) | རྒྱབ་སྨད་(0.20),,དཔྱི་སྨད་,DDC p.37 noun [གཟུགས་ཀྱི་ཆ་ཤས།]; replaced corpus guess ཧིཔ་ཧོཔ་
leg,རྐངམ་,medium,0.80,187,རྐངམ་(0.80) | ངེའི་(0.16) | ནུག(0.17),YES - dictionary gives རྐང་།,རྐང་པ་ | འགྲུལ་སྐྱོད་ | བྱོག་,DDC p.20 noun [གཟུགས་ཀྱི་ཡན་ལག]; corpus kept (medium)
knee,པུས་མོ་,dict,0.19,52,པུས་(0.19) | པུས་མོ་(0.54) | རྨ་(0.23),,པུས་ལྷོད་གྱོན་ཆས་ | ཞབས་པུས་,DDC p.527 noun; replaced corpus guess པུས་
foot,གཤམ་,dict,0.22,110,རྐང་སྟོང་(0.22) | རྐངམ་(0.40) | འགྱོ་(0.17),check - corpus proposed something else,ཚིག་མཚམས་ | རྐང་པ་ | ཞབས་,DDC p.994 noun; replaced corpus guess རྐང་སྟོང་
toe,རྐང་མཛུབ་,medium,0.50,38,རྐང་མཛུབ་(0.50) | མཛུབ་མོ་(0.21) | གུ་(0.21),YES,རྐང་མའི་མཛུབ་མོ་ | ཞབས་མཛུབ་ | སྤྱི་ཏོག་,DDC p.22 noun; agrees with corpus
heel,རྟིངམ་,dict,0.24,17,རྟིངམ་(0.24) | རྟིང་(0.24) | ལྷམ་(0.24),,མཐིལ་ | ལྷམ་རྟིངམ་རིངམོ་,DDC p.331 noun; agrees with corpus
skin,པགས་ཀོ་,medium,0.68,75,པགས་ཀོ་(0.68) | གི་(0.24) | ཨིན(0.23),YES,ཁ་ཞག་ | ཞག་ | པགས་ཀོ་ཀྲེག་པ་,DDC p.523 noun; agrees with corpus
bone,རུ་ཏོ་,medium,0.68,40,རུ་ཏོ་(0.68) | རོ་ཁྱི་(0.23) | དང་(0.17),YES,རུས་ | རུས་པ་ | སྐུ་རུས་,DDC p.924 noun; agrees with corpus
blood,ཁྲག་,dict,0.16,129,ཁྲག་ཤུགས་(0.16) | ཁྲག་(0.63) | ནུག(0.16),,སྐུ་ཁྲག་ | རིགས་རྒྱུད་,DDC p.82 noun; replaced corpus guess ཁྲག་ཤུགས་
heart,དོན་ཧིང་,dict,0.44,254,དོན་ཧིང་(0.44) | སེམས་(0.28) | གི་(0.22),,སེམས་ | སྙིང་ | ཧིང་,DDC p.408 noun; agrees with corpus
lung,གློཝ་,medium,0.61,18,གློཝ་(0.61) | ཀེན་(0.22) | སར་(0.39),YES,,DDC p.138 noun; agrees with corpus
liver,མཆིན་,medium,0.67,6,མཆིན་(0.67) | ཨེཕ་ཊིཨེས(0.17) | མཆིནམ་(0.17),YES - dictionary gives མཆིནམ།,མཆིན་པ་,DDC p.262 noun; corpus kept (medium)
kidney,མཁལ་རྡོག་,medium,0.77,13,མཁལ་རྡོག་(0.77) | ཞལ་འདེབས་(0.23) | རྡོ་(0.15),YES,མཁལ་མ་,DDC p.92 noun; agrees with corpus
brain,ཀླདཔ་,medium,0.61,36,ཀླདཔ་(0.61) | གི་(0.28) | ནང་(0.19),YES - dictionary gives ཀླད་པ།,རིག་པ་ | རིག་པ་ཅན་,DDC p.7 noun; corpus kept (medium)
nerve,རྩ་,dict,0.17,52,བཅུག་(0.17) | འདུག(0.17) | མོ་(0.21),check - corpus proposed something else,རྩ་ཁམས་ | འཚེར་སྣང་ | འདྲོག་ཟུག་,DDC p.731 noun; replaced corpus guess བཅུག་
muscle,ཤ་རྒྱུས་,high,0.81,21,ཤ་རྒྱུས་(0.81) | ཐང་རིལ་(0.19) | ལེགས་ཤོམ་(0.19),,གཟུགས་ཤེད་ | ཤེད་ཤུགས་ | དབང་ཤུགས་,DDC p.975 noun; agrees with corpus
vein,ཁྲག་རྩ་,dict,0.43,7,ཁྲག་རྩ་(0.43) | ལག་ངར་(0.29) | ནདཔ་(0.29),,རྩ་ཁྲ་ | རྩ་འདབས་,DDC p.82 noun; agrees with corpus
