en,dz_preferred,confidence,coverage,carriers,dz_candidates,review,dz_variants,notes
red,དམརཔོ་,medium,0.78,328,དམརཔོ་(0.78) | ཨིན(0.20) | ཅིག་(0.16),YES,,
blue,ཧོནམོ་,low,0.48,212,ཧོནམོ་(0.48) | ཧོནམ་(0.29) | དང་(0.21),YES,,
green,ལྕང་ཁ་,low,0.45,128,ལྕང་ཁ་(0.45) | གི་(0.19) | ཨིན(0.19),YES,,
yellow,སེརཔོ་,medium,0.66,64,སེརཔོ་(0.66) | མེ་ཏོག་(0.16) | ཚུ་(0.22),YES,,
white,དཀརཔོ་,high,0.81,285,དཀརཔོ་(0.81) | དང་(0.21) | ཨིན(0.22),,,
black,གནགཔོ་,medium,0.79,225,གནགཔོ་(0.79) | ཨིན(0.19) | འདི་(0.34),YES,,
brown,རྒྱ་སྨུག་,medium,0.75,77,རྒྱ་སྨུག་(0.75) | གི་(0.26) | ནུག(0.16),YES,,
grey,ཐལ་མདོག་,low,0.21,14,ཐལ་མདོག་(0.21) | སྐྱ་ཐལ་(0.43) | སྦེ་(0.29),YES,,
pink,ཤ་ཁ་,medium,0.61,31,ཤ་ཁ་(0.61) | མཁོ་མངག་(0.16) | གྱོན་(0.19),YES,,
purple,བསྲེ་,low,0.15,13,བསྲེ་(0.15) | རྒྱ་སྨུག་(0.92) | ཚོས་གཞི་(0.23),YES,,
orange colour,,MISSING,,0,,YES - not in corpus,,
gold,གསེར་,medium,0.78,115,གསེར་(0.78) | གྱི་(0.32) | དང་(0.16),YES,,
silver,དངུལ་,medium,0.60,48,དངུལ་(0.60) | གྱི་(0.27) | དང་(0.21),YES,,
maroon,,MISSING,,0,,YES - not in corpus,,
violet,,MISSING,,2,,YES - not in corpus,,
turquoise,,MISSING,,3,,YES - not in corpus,,
dark,གནག་དུང་,low,0.27,267,གནག་དུང་(0.27) | གནག་དུང་དུ་(0.24) | ནང་(0.25),YES,,
light,གློག་མེ་,low,0.18,431,གློག་མེ་(0.18) | མེ་(0.44) | ཚུ་(0.15),YES,,
bright,ཚ་དྲགས་,low,0.16,62,ཚ་དྲགས་(0.16) | ལེགས་ཤོམ་(0.19) | འདུག(0.18),YES,,
pale,སེར་ཐང་,medium,0.53,49,སེར་ཐང་(0.53) | ཐ་མཐོངམ་(0.16) | ཐ་(0.16),YES,,
colour,ཚོས་གཞི་,medium,0.58,79,ཚོས་གཞི་(0.58) | དང་(0.23) | གྱི་(0.15),YES,,
