en,dz_preferred,confidence,coverage,carriers,dz_candidates,review,dz_variants,notes
rice,ཆུམ་,low,0.48,104,ཆུམ་(0.48) | ལྟོ་(0.36) | གྱི་(0.15),YES,,
bread,བཱམ་རོ་ཊི་,medium,0.63,126,བཱམ་རོ་ཊི་(0.63) | ཉོ་(0.15) | ཡི(0.16),YES,,
milk,ཨོམ་,high,0.96,256,ཨོམ་(0.96) | ཨིན(0.20) | གིས་(0.34),,,
tea,ཇ་,high,0.85,319,ཇ་(0.85) | ཕོརཔ་(0.19) | གང་(0.17),,,
water,ཆུ་,high,0.83,837,ཆུ་(0.83) | ནང་(0.21) | ཨིན(0.16),,,
meat,ཤ་,medium,0.80,168,ཤ་(0.80) | ཟ་(0.26) | ནི་(0.21),YES,,
egg,སྒོང་རྡོག་,high,0.80,190,སྒོང་རྡོག་(0.80) | ཚུ་(0.31) | ཨིན(0.17),,,
salt,ཚྭ་,medium,0.77,100,ཚྭ་(0.77) | གནང་(0.24) | ཀྱིས་(0.20),YES,,
sugar,གུ་རམ་,low,0.44,156,གུ་རམ་(0.44) | རམ་(0.36) | ཀཱ་ཕི་(0.18),YES,,
oil,མར་ཁུ་,low,0.43,91,མར་ཁུ་(0.43) | སྣུམ་(0.18) | གྱི་(0.15),YES,,
cheese,དར་ཚིལ་,low,0.36,70,དར་ཚིལ་(0.36) | དར་ཚི་(0.46) | ཨོམ་(0.17),YES,,
butter,བཱམ་རོ་ཊི་,low,0.16,68,བཱམ་རོ་ཊི་(0.16) | མར་(0.91) | དང་(0.25),YES,,
soup,ཁུ་བ་,medium,0.64,84,ཁུ་བ་(0.64) | འདུག(0.18) | ནང་(0.18),YES,,
chilli,ཨེ་མའི་,low,0.38,8,ཨེ་མའི་(0.38) | ཨེ་མ་(0.38) | འོང་འབབ་(0.25),YES,,
