en,dz_preferred,confidence,coverage,carriers,dz_candidates,review,dz_variants,notes
apple,ཨེ་པཱལ་,high,0.92,322,ཨེ་པཱལ་(0.92) | ཚུ་(0.16) | ནུག(0.16),,,DDC p.1091 noun; agrees with corpus
banana,ངང་ལག་,high,0.80,60,ངང་ལག་(0.80) | ཟ་(0.17) | དགའ(0.15),,,DDC p.202 noun; agrees with corpus
mango,ཨམ་ཅུ་ཀུ་ལི་,dict,,3,,check - corpus proposed something else,ཨམ་,DDC p.1087 noun
orange,ཚལ་,medium,0.51,89,ཚལ་(0.51) | དང་(0.16) | ལུ་(0.63),YES - dictionary gives ཚལ་ལུ།,ལི་ཝང་ཚོས་གཞི་ | ལི་ཝང་ | ལི་ཁྲི་,DDC p.759 noun; corpus kept (medium)
grape,རྒུན་འབྲུམ་,high,0.81,26,རྒུན་འབྲུམ་(0.81) | སྐྱུརཔོ་(0.19) | དགའ(0.19),YES - dictionary gives ཆུ་རྒུན་འབྲུམ།,,DDC p.250 noun; corpus kept (high)
peach,ཁམ་ཤིང་,medium,0.50,4,ཁམ་ཤིང་(0.50) | ཁམ་(0.25) | ཀེ་བ་(0.25),YES - dictionary gives ཁམ།,ཁམ་བུ་,DDC p.66 noun; corpus kept (medium)
pear,གླི་,high,0.83,18,གླི་(0.83) | གི་(0.33) | ནང་(0.22),,,DDC p.129 noun; agrees with corpus
guava,བལཔ་སེའུ་,dict,,0,,check - corpus proposed something else,,DDC p.604 noun
papaya,མོ་དུ་ཕ་ལ་,dict,,0,,check - corpus proposed something else,,DDC p.698 noun
lemon,ཧུམ་ཅུང་,high,0.91,32,ཧུམ་ཅུང་(0.91) | ཇ་(0.19) | དང་(0.19),,ཧུམ་ཅུང་ཁུ་བ་ | སྐྱ་སེར་ | ཕན་ཐོགས་མེད་པ་,DDC p.1068 noun; agrees with corpus
lime,ཧུམ་ཅུང་,dict,0.29,7,ཧུམ་པ་(0.29) | ཙུ་(0.29) | ཧུམ་ཅུང་(0.43),,ཀ་ར་ | ཙུ་ནེ་,DDC p.1068 noun; replaced corpus guess ཧུམ་པ་
pineapple,རྒྱ་ནག་ཀོང་ཙེ་,dict,0.17,6,སྐྱུརཔོ(0.17) | ཆ་རོངས་(0.17) | ཀོང་ཙེ་(0.83),check - corpus proposed something else,,DDC p.169 noun; replaced corpus guess སྐྱུརཔོ
watermelon,ཁ་རི་མུ་,medium,0.59,22,ཁ་རི་མུ་(0.59) | ཟ་(0.59) | ཉོ་(0.18),YES - dictionary gives ཆུ་གོན།,ཁ་རི་མུ་ཟ་,DDC p.250 noun; corpus kept (medium)
muskmelon,,MISSING,,0,,YES - not in corpus,,not in DDC dictionary
plum,ཅུ་གླི་,dict,0.33,6,ཅུ་གླི་(0.33) | སྐྱུར་གླི་(0.17) | འཛེག་ཤིང་(0.17),,ཚོས་གཞི་རྒྱ་སྨུག་ | རྒུན་འབྲུམ་ | ལེགས་ཤོམ་,DDC p.228 noun; agrees with corpus
apricot,མངར་རིས་ཁམ་,dict,,3,,check - corpus proposed something else,,DDC p.219 noun
cherry,སེའུ་ཁམ་,dict,0.38,26,ཅེ་རི་ཤིང་(0.38) | ཅེ་རི་མེ་ཏོག་(0.15) | ཅེ་རི་(0.15),check - corpus proposed something else,སེའུ་ཁམ་ཤིང་ | དམར་ཚེག་ཚེ་,DDC p.1021 noun; replaced corpus guess ཅེ་རི་ཤིང་
strawberry,ཚལ་,medium,0.71,7,ཚལ་(0.71) | སྤང་(0.86) | ལྗིད་ཚད་(0.29),YES - dictionary gives སྤང་ཚལ་ལུ།,,DDC p.537 noun; corpus kept (medium)
raspberry,ཚེར་མ་ཚལ་ལུ་,dict,,1,,check - corpus proposed something else,,DDC p.766 noun
blackberry,ཚེར་མ་ཚལ་ལུ་གནགཔོ་,dict,,1,,check - corpus proposed something else,,DDC p.766 noun
coconut,བེ་ཏ་,medium,0.60,5,བེ་ཏ་(0.60) | མངར་དྲགས་(0.20) | ཀི་ཝི་(0.20),YES,བེ་ཏའི་རྡོག་མ་,DDC p.606 noun; agrees with corpus
date,ཚེས་གྲངས་,dict,0.27,214,ཚེས་གྲངས་(0.27) | དང་(0.19) | ཀྱི་(0.19),,ཚེས་ | དགའ་འཕྱད་ | སྤྱི་ཚེས་,DDC p.767 noun; agrees with corpus
fig,ཅོང་སེ་,dict,,0,,check - corpus proposed something else,བ་ཀུ་ | བ་ཀུའི་འབྲས་བུ་,DDC p.228 noun
pomegranate,སེ་འབྲུ་,dict,,0,,check - corpus proposed something else,,DDC p.1011 noun
persimmon,ཨན་འབྲས་,dict,,0,,check - corpus proposed something else,,DDC p.1087 noun
jackfruit,སྦྲམ་ཟས་,dict,,0,,check - corpus proposed something else,,DDC p.657 noun
litchi,,MISSING,,0,,YES - not in corpus,,not in DDC dictionary
avocado,,MISSING,,3,,YES - not in corpus,,not in DDC dictionary
kiwi,,MISSING,,1,,YES - not in corpus,,not in DDC dictionary
sugarcane,,MISSING,,1,,YES - not in corpus,,not in DDC dictionary
tamarind,,MISSING,,0,,YES - not in corpus,,not in DDC dictionary
walnut,སྟར་གོ་,dict,,1,,check - corpus proposed something else,,DDC p.339 noun
almond,རྒྱ་གར་སྟར་གོ་,dict,0.17,6,ཨཱ་མོནཌ་(0.17) | རྒྱ་གར་སྟར་གོའི་(0.17) | ཆུ་བཙོ་ཅན་(0.17),check - corpus proposed something else,,DDC p.168 noun; replaced corpus guess ཨཱ་མོནཌ་
cashew,ཀ་ཇུ་,dict,,0,,check - corpus proposed something else,,DDC p.1 noun
peanut,བ་དམ་,dict,0.21,14,བ་དམ་(0.21) | དམ་(0.50) | འཕྲོདཔ་(0.29),,,DDC p.597 noun; agrees with corpus
chestnut,སོ་ཀེ་,dict,0.25,4,ཧོརསི་ཅེས་(0.25) | ཀེ་རྡོག་(0.25) | སོ་ཀེ་(0.25),,རྟ་རྒྱ་སྨུག་ | སོ་ཀེ་ཤིང་ | རྒྱ་སྨུག་,DDC p.1022 noun; replaced corpus guess ཧོརསི་ཅེས་
hazelnut,,MISSING,,3,,YES - not in corpus,,not in DDC dictionary
raisin,རྒུན་འབྲུམ་,dict,,2,,check - corpus proposed something else,,DDC p.167 noun
mandarin,རྒྱ་ནག་སྐད་ཡིག་,dict,,0,,check - corpus proposed something else,ཆེས་མཐོའི་འགོ་དཔོན་,DDC p.169 noun
grapefruit,ཚང་ང་ལ་,dict,,3,,check - corpus proposed something else,སོ་ལོང་ཇི་,DDC p.752 noun
passion fruit,འདོད་ལྷ་མེ་ཏོག་འབྲས་བུ་,dict,,0,,check - corpus proposed something else,,DDC p.453 noun
custard apple,,MISSING,,0,,YES - not in corpus,,not in DDC dictionary
mulberry,རྒྱ་ཚོས་ཤིང་,dict,,0,,check - corpus proposed something else,རྒྱ་ཚོས་རྡོག་མ་ | ཚོས་གཞི་དམར་སྨུག་,DDC p.169 noun
gooseberry,ཚེར་མ་ཚལ་ལུ་,dict,,0,,check - corpus proposed something else,,DDC p.766 noun
banana flower,,MISSING,,0,,YES - not in corpus,,not in DDC dictionary
