en,dz_preferred,confidence,coverage,carriers,dz_candidates,review,dz_variants,notes
mother,ཨའི་,high,0.95,902,ཨའི་(0.95) | ངེའི་(0.31) | གི་(0.25),,,
father,ཨ་པ་,high,0.94,1228,ཨ་པ་(0.94) | ངེའི་(0.39) | གི་(0.24),,,
brother,ནུ་གཅུང་,low,0.16,693,ནུ་གཅུང་(0.16) | ཕོ་རྒནམ་(0.41) | ཕོ་སྤུན་(0.15),YES,,
sister,ཨ་ཞེམོ་,low,0.31,665,ཨ་ཞེམོ་(0.31) | ནུམོ་(0.16) | སྲིངམོ་(0.18),YES,,
uncle,ཨ་ཞང་,high,0.94,191,ཨ་ཞང་(0.94) | ངེའི་(0.39) | སྡོད་(0.16),,,
aunt,ཨ་ནེ་,medium,0.59,59,ཨ་ནེ་(0.59) | ཨ་མ་(0.15) | ངེའི་(0.51),YES,,
son,བུ་,high,0.87,464,བུ་(0.87) | ཁོ་རའི་(0.17) | ངེའི་(0.21),,,
daughter,བུམོ་,high,0.97,351,བུམོ་(0.97) | ངེའི་(0.18) | ཡོད(0.17),,,
grandmother,ཨང་རྒས་,high,0.92,93,ཨང་རྒས་(0.92) | ངེ་གི་(0.23) | ངེའི་(0.34),,,
grandfather,ཨ་རྒས་,high,0.98,118,ཨ་རྒས་(0.98) | ངེའི་(0.40) | ཀྱི་(0.19),,,
wife,ཨམ་སྲུ་,high,0.88,425,ཨམ་སྲུ་(0.88) | ཁོ་རའི་(0.16) | ངེའི་(0.28),,,
husband,རྨགཔ་,high,0.97,200,རྨགཔ་(0.97) | མོ་རའི་(0.23) | མོ་(0.43),,,
child,ཨ་ལུ་,medium,0.67,481,ཨ་ལུ་(0.67) | ཨ་ལོ་(0.25) | སྦེ་(0.18),YES,,
friend,ཆ་རོགས་,high,0.97,1555,ཆ་རོགས་(0.97) | ངེའི་(0.18) | དང་(0.17),,,
neighbour,ཁྱིམ་ཚང་,high,1.00,18,ཁྱིམ་ཚང་(1.00) | ཁོང་(0.22) | ངེའི་(0.17),,,
cousin,ཉེ་སྤུན་,low,0.49,63,ཉེ་སྤུན་(0.49) | སྤུན་ཆ་(0.40) | ངེའི་(0.27),YES,,
