en,dz_preferred,confidence,coverage,carriers,dz_candidates,review,dz_variants,notes
mountain,གངས་རི་,medium,0.70,193,གངས་རི་(0.70) | ལས་(0.15) | ཚུ་(0.17),YES,,
hill,སྒང་ཏོ་,low,0.29,83,སྒང་ཏོ་(0.29) | སྤོ་ཏོ་(0.28) | གུ་(0.29),YES,,
peak,རི་རྩེ་,low,0.33,15,རི་རྩེ་(0.33) | མཐོ་ཤོས་(0.53) | འཛམ་གླིང་(0.40),YES,,
pass,ཆོས་རྒྱུགས་,low,0.30,210,ཆོས་རྒྱུགས་(0.30) | མཐར་འཁྱོལ་(0.32) | གནང་(0.20),YES,,
cliff,བྱག་,high,0.86,21,བྱག་(0.86) | གཟར་དྲགས་(0.38) | གུ་(0.19),,,
valley,ལུང་གཤོང་,low,0.30,33,ལུང་གཤོང་(0.30) | ལུངམ་(0.15) | གངས་རི་(0.15),YES,,
glacier,ཧ་བཊ་འཁྱེག་རི་,low,0.17,6,ཧ་བཊ་འཁྱེག་རི་(0.17) | འཁྱེག་རི་(0.17) | འཁྱེག་ཕུང་ཁ་རྩོད་(0.17),YES,,
himalaya,,MISSING,,0,,YES - not in corpus,,
gangkhar puensum,,MISSING,,0,,YES - not in corpus,,
jomolhari,,MISSING,,1,,YES - not in corpus,,
chomolhari,,MISSING,,0,,YES - not in corpus,,
jichu drake,,MISSING,,0,,YES - not in corpus,,
kula kangri,,MISSING,,0,,YES - not in corpus,,
masanggang,,MISSING,,0,,YES - not in corpus,,
tsenda kang,,MISSING,,0,,YES - not in corpus,,
teri kang,,MISSING,,0,,YES - not in corpus,,
table mountain,,MISSING,,0,,YES - not in corpus,,
kangphu gang,,MISSING,,0,,YES - not in corpus,,
everest,ཨེ་བཱ་རེསཊ་,low,0.18,11,ཨེ་བཱ་རེསཊ་(0.18) | མའུནཊ་ཨེ་ཝེ་རེསཊ་(0.18) | འཛེགས་ཅི་(0.18),YES,,
kanchenjunga,,MISSING,,0,,YES - not in corpus,,
dochula,,MISSING,,0,,YES - not in corpus,,
chelela,,MISSING,,0,,YES - not in corpus,,
pelela,,MISSING,,0,,YES - not in corpus,,
yotongla,,MISSING,,0,,YES - not in corpus,,
thrumshingla,,MISSING,,0,,YES - not in corpus,,
