en,dz_preferred,confidence,coverage,carriers,dz_candidates,review,dz_variants,notes
teacher,སློབ་དཔོན་,high,0.95,638,སློབ་དཔོན་(0.95) | གྱིས་(0.15) | ཀྱི་(0.15),,,
doctor,དྲུང་འཚོ་,high,0.90,568,དྲུང་འཚོ་(0.90) | ཅིག་(0.20) | ཁོ་(0.18),,,
farmer,སོ་ནམ་པ་,medium,0.68,59,སོ་ནམ་པ་(0.68) | ཚུ་(0.37) | ནུག(0.19),YES,,
student,སློབ་ཕྲུག་,high,0.96,664,སློབ་ཕྲུག་(0.96) | ཚུ་(0.33) | ཨིན(0.27),,,
driver,དེད་གཡོགཔ་,medium,0.64,146,དེད་གཡོགཔ་(0.64) | ཆོག་ཐམ་(0.28) | སྣུམ་འཁོར་(0.16),YES,,
nurse,སྨན་གཡོགམོ་,medium,0.71,68,སྨན་གཡོགམོ་(0.71) | མོ་(0.26) | ཅིག་(0.25),YES,,
monk,དགེ་སློང་,medium,0.67,6,དགེ་སློང་(0.67) | ཝི་སེནཊི་(0.17) | དགེ་སློང་མ་(0.17),YES,,
police,ཁྲིམས་སྲུང་འགག་པ་,medium,0.68,355,ཁྲིམས་སྲུང་འགག་པ་(0.68) | ནུག(0.26) | འབད་(0.26),YES,,
soldier,དམག་མི་,high,0.95,117,དམག་མི་(0.95) | ཚུ་(0.54) | ནུག(0.43),,,
shopkeeper,ལཱ་བཞག་,low,0.17,6,ལཱ་བཞག་(0.17) | བཙོངམ་མས(0.17) | ཨེ་ཤི་ཡའི་(0.17),YES,,
engineer,བཟོ་རིག་འགོ་དཔོན་,low,0.39,41,བཟོ་རིག་འགོ་དཔོན་(0.39) | བཟོ་དཔོན་(0.32) | དང་(0.22),YES,,
