en,dz_preferred,confidence,coverage,carriers,dz_candidates,review,dz_variants,notes
thimphu,ཐིམ་ཕུ་,low,0.17,83,ཐིམ་ཕུ་(0.17) | ཐིམ་ཕུག་(0.83) | སྡོདཔ་(0.18),YES,,
paro,སྤ་རོ་,high,0.97,37,སྤ་རོ་(0.97) | རྡོ་རྗེ་(0.19) | འགྱོ་(0.19),,,
punakha,སྤུ་ན་ཁ་,high,0.80,10,སྤུ་ན་ཁ་(0.80) | འགྱོ་(0.40) | ཨིན་(0.20),,,
bumthang,བུམ་ཐང་,high,1.00,6,བུམ་ཐང་(1.00) | རྩེད་རིགས་ཚོགས་པ་(0.17) | གཡུལ་(0.17),,,
trongsa,,MISSING,,3,,YES - not in corpus,,
wangdue,,MISSING,,3,,YES - not in corpus,,
trashigang,,MISSING,,2,,YES - not in corpus,,
mongar,,MISSING,,1,,YES - not in corpus,,
samtse,,MISSING,,3,,YES - not in corpus,,
india,རྒྱ་གར་,high,0.96,97,རྒྱ་གར་(0.96) | གྱི་(0.19) | ལས་(0.19),,,
nepal,བལ་ཡུལ་,medium,0.50,4,བལ་ཡུལ་(0.50) | བལ་པོ་(0.25) | ནེ་པཱལ་(0.25),YES,,
bhutan,འབྲུག་,medium,0.77,74,འབྲུག་(0.77) | རྒྱལ་ཁབ་(0.24) | ཨིན(0.41),YES,,
china,རྒྱ་ནག་,high,0.95,103,རྒྱ་ནག་(0.95) | ལས་(0.32) | ཨིན(0.32),,,
japan,ཇ་པཱན་,medium,0.74,374,ཇ་པཱན་(0.74) | གྱི་(0.23) | ལས་(0.18),YES,,
america,ཨ་མི་རི་ཀ་,medium,0.57,155,ཨ་མི་རི་ཀ་(0.57) | འགྱོ་(0.27) | ཁོ་(0.28),YES,,
england,ཨིང་ལེནཌ་,medium,0.67,124,ཨིང་ལེནཌ་(0.67) | དང་(0.17) | གི་(0.35),YES,,
