en,dz_preferred,confidence,coverage,carriers,dz_candidates,review,dz_variants,notes
school,སློབ་གྲྭ་,high,0.82,1366,སློབ་གྲྭ་(0.82) | ནང་(0.61) | འགྱོ་(0.17),,,
college,མཐོ་རིམ་སློབ་གྲྭ་,low,0.43,161,མཐོ་རིམ་སློབ་གྲྭ་(0.43) | མཐོ་རིམ་(0.34) | སློབ་གྲྭ་(0.22),YES,,
university,གཙུག་ལག་སློབ་སྡེ་,low,0.22,146,གཙུག་ལག་སློབ་སྡེ་(0.22) | གཙུག་ལག་སློབ་གྲྭ་(0.19) | ནང་(0.37),YES,,
hospital,སྨན་ཁང་,high,0.94,300,སྨན་ཁང་(0.94) | ནང་(0.73) | འགྱོ་(0.20),,,
clinic,སྨན་བཅོས་ཁང་,low,0.42,12,སྨན་བཅོས་ཁང་(0.42) | སྨན་ཁང་(0.50) | ཁྱད་པར་(0.17),YES,,
market,ཚོང་ཁྲོམ་,low,0.18,136,ཚོང་ཁྲོམ་(0.18) | ཁྲོམ་(0.32) | གི་(0.18),YES,,
shop,ཚོང་ཁང་,high,0.82,213,ཚོང་ཁང་(0.82) | ནང་(0.39) | གི་(0.20),,,
office,ཡིག་ཚང་,high,0.87,495,ཡིག་ཚང་(0.87) | ནང་(0.54) | གི་(0.21),,,
bank,དངུལ་ཁང་,high,0.84,241,དངུལ་ཁང་(0.84) | ནང་(0.37) | གི་(0.29),,,
post office,འགྲེམས་ཁང་,medium,0.76,54,འགྲེམས་ཁང་(0.76) | ཡིག་ཚང་(0.17) | འགྱོ་(0.22),YES,,
temple,ལྷ་ཁང་,high,0.91,46,ལྷ་ཁང་(0.91) | རྙིངམ་(0.15) | ལེ་ཤ་(0.15),,,
monastery,མིལ་ཀོ་བོ་,low,0.25,4,མིལ་ཀོ་བོ་(0.25) | དགོན་སྡེ་(0.25) | དགོན་པའི་(0.25),YES,,
dzong,རྫོང་,medium,0.75,8,རྫོང་(0.75) | བཞེངས་(0.25) | བསྒང་(0.25),YES,,
stupa,,MISSING,,0,,YES - not in corpus,,
chorten,,MISSING,,1,,YES - not in corpus,,
prayer wheel,,MISSING,,0,,YES - not in corpus,,
house,ཁྱིམ་,high,0.94,1580,ཁྱིམ་(0.94) | ནང་(0.30) | གི་(0.22),,,
