en,dz_preferred,confidence,coverage,carriers,dz_candidates,review,dz_variants,notes
today,ད་རིས་,medium,0.60,1698,ད་རིས་(0.60) | ད་རེས་(0.34) | འབད་(0.16),YES,,
tomorrow,ནངས་པ་,medium,0.79,1186,ནངས་པ་(0.79) | འོང་(0.32) | ནི་(0.19),YES,,
yesterday,ཁ་ཙ་,high,0.93,1040,ཁ་ཙ་(0.93) | ཡི(0.37) | ང་(0.44),,,
morning,དྲོ་པ་,high,0.88,773,དྲོ་པ་(0.88) | ད་རིས་(0.18) | ཨ་རྟག་ར་(0.18),,,
evening,ཕྱི་རུ་,high,0.83,243,ཕྱི་རུ་(0.83) | ད་རིས་(0.26) | འོང་(0.16),,,
night,ནུབ་མོ་,low,0.17,1156,ནུབ་མོ་(0.17) | ཕྱི་རུ་(0.46) | ཁ་ཙ་(0.31),YES,,
week,བདུན་ཕྲག་,high,0.98,983,བདུན་ཕྲག་(0.98) | གཅིག་(0.24) | ནང་(0.52),,,
month,ཟླཝ་,high,0.85,532,ཟླཝ་(0.85) | གཅིག་(0.16) | ནང་(0.42),,,
year,ལོ་,medium,0.64,1670,ལོ་(0.64) | ཡི(0.27) | གི་(0.22),YES,,
hour,ཆུ་ཚོད་,high,0.82,624,ཆུ་ཚོད་(0.82) | གཅིག་(0.34) | ལས་(0.16),,,
minute,སྐར་མ་,medium,0.77,531,སྐར་མ་(0.77) | དག་པ་ཅིག་(0.20) | གཅིག་(0.23),YES,,
day,ཉིནམ་,medium,0.70,2521,ཉིནམ་(0.70) | གཅིག་(0.17) | ནང་(0.16),YES,,
