en,dz_preferred,confidence,coverage,carriers,dz_candidates,review,dz_variants,notes
tree,ཤིང་,high,0.81,452,ཤིང་(0.81) | གུ་(0.17) | ནུག(0.25),,,
pine,སྟོང་ཕུ་ཤིང་,low,0.33,6,སྟོང་ཕུ་ཤིང་(0.33) | སྟོང་ཕུའི་(0.17) | ཟེགས་(0.17),YES,,
blue pine,,MISSING,,0,,YES - not in corpus,,
chir pine,,MISSING,,0,,YES - not in corpus,,
oak,སི་སི་ཤིང་,low,0.42,12,སི་སི་ཤིང་(0.42) | སྦྱིས་(0.17) | ཞལ་ལག་(0.17),YES,,
cypress,,MISSING,,0,,YES - not in corpus,,
fir,,MISSING,,3,,YES - not in corpus,,
hemlock,,MISSING,,0,,YES - not in corpus,,
spruce,,MISSING,,0,,YES - not in corpus,,
juniper,,MISSING,,0,,YES - not in corpus,,
rhododendron,,MISSING,,0,,YES - not in corpus,,
magnolia,,MISSING,,0,,YES - not in corpus,,
maple,,MISSING,,1,,YES - not in corpus,,
birch,,MISSING,,3,,YES - not in corpus,,
willow,,MISSING,,2,,YES - not in corpus,,
poplar,,MISSING,,0,,YES - not in corpus,,
alder,,MISSING,,0,,YES - not in corpus,,
walnut tree,,MISSING,,0,,YES - not in corpus,,
apple tree,ཨེ་པཱལ་ཤིང་,low,0.15,13,ཨེ་པཱལ་ཤིང་(0.15) | ཨེ་པཱལ་(0.62) | ལྡུམ་ར་(0.46),YES,,
mango tree,,MISSING,,0,,YES - not in corpus,,
peach tree,ཁམ་ཤིང་,medium,0.50,4,ཁམ་ཤིང་(0.50) | ཁམ་(0.25) | ཀེ་བ་(0.25),YES,,
orange tree,,MISSING,,2,,YES - not in corpus,,
banana tree,,MISSING,,0,,YES - not in corpus,,
bamboo,སྦ་,low,0.38,8,སྦ་(0.38) | ལག་གཟེམ་(0.25) | བཀོད་རྒྱ་(0.25),YES,,
cane,འཁརཝ་,low,0.47,15,འཁརཝ་(0.47) | ཚར་(0.33) | གྱི་(0.20),YES,,
teak,,MISSING,,1,,YES - not in corpus,,
sal,,MISSING,,0,,YES - not in corpus,,
sandalwood,,MISSING,,0,,YES - not in corpus,,
banyan,,MISSING,,0,,YES - not in corpus,,
peepal,,MISSING,,0,,YES - not in corpus,,
fig tree,,MISSING,,0,,YES - not in corpus,,
cedar,,MISSING,,1,,YES - not in corpus,,
cherry tree,ཅེ་རི་ཤིང་,medium,0.58,12,ཅེ་རི་ཤིང་(0.58) | ཅེ་རིའི་(0.17) | བཏོགས་བཏང་(0.17),YES,,
chestnut tree,,MISSING,,0,,YES - not in corpus,,
eucalyptus,,MISSING,,0,,YES - not in corpus,,
acacia,,MISSING,,0,,YES - not in corpus,,
mulberry tree,,MISSING,,0,,YES - not in corpus,,
bush,བསྐོར་,low,0.29,21,བསྐོར་(0.29) | ཚལ་མ་(0.19) | སླབ(0.19),YES,,
shrub,ཧོན་ལྡུམ་,low,0.43,7,ཧོན་ལྡུམ་(0.43) | བཙུགས་(0.43) | ཆ་རོགས་(0.43),YES,,
grass,རྩྭ་,medium,0.60,63,རྩྭ་(0.60) | སྡོད་(0.16) | ཨིན(0.21),YES,,
flower,མེ་ཏོག་,high,0.87,318,མེ་ཏོག་(0.87) | ཚུ་(0.42) | ནང་(0.16),,,
leaf,འདབ་མ་,medium,0.69,13,འདབ་མ་(0.69) | འབུད་(0.15) | བུད་(0.31),YES,,
root,ར་ཏོ་,low,0.24,29,ར་ཏོ་(0.24) | གི་(0.52) | ར་(0.17),YES,,
branch,ཞལ་ལག་,low,0.38,47,ཞལ་ལག་(0.38) | ཡན་ལག་(0.32) | ཤིང་(0.23),YES,,
trunk,ལྕགས་སྒྲོམ་,low,0.45,22,ལྕགས་སྒྲོམ་(0.45) | སྒྲོམ་(0.18) | ཀཱར་(0.23),YES,,
bark,ཧབ་,medium,0.67,30,ཧབ་(0.67) | རོ་ཁྱི་(0.73) | ཨ་རྟག་ར་(0.20),YES,,
seed,སོན་,high,0.88,34,སོན་(0.88) | བཏབ་(0.21) | ཚུ་(0.56),,,
fruit,ཤིང་འབྲས་,high,0.83,147,ཤིང་འབྲས་(0.83) | དང་(0.19) | ཀྱི་(0.16),,,
