en,dz_preferred,confidence,coverage,carriers,dz_candidates,review,dz_variants,notes
potato,ཀེ་བའི་,low,0.35,20,ཀེ་བའི་(0.35) | ཀེ་བ་(0.60) | ཁ་ཟས་(0.25),YES,,
onion,སྒོགཔ་,medium,0.76,17,སྒོགཔ་(0.76) | བཙོ་(0.24) | སྐར་མ་(0.18),YES,,
chilli,ཨེ་མའི་,low,0.38,8,ཨེ་མའི་(0.38) | ཨེ་མ་(0.38) | འོང་འབབ་(0.25),YES,,
cabbage,འདམ་མ་,low,0.17,6,འདམ་མ་(0.17) | ཕོད་ཙེ་(0.17) | གནདཔ་བཀལཝ་(0.17),YES,,
carrot,ལ་ཕུག་,high,0.91,34,ལ་ཕུག་(0.91) | དམརཔོ་(0.97) | དགའ(0.26),,,
spinach,ཧོན་ཚོད་,high,0.85,13,ཧོན་ཚོད་(0.85) | བཟའ་(0.15) | རིགས་(0.15),,,
tomato,ལྡེ་ཁུ་,low,0.20,5,ལྡེ་ཁུ་(0.20) | འཁྱེགས་འཁྱེགསཔ་(0.20) | བླམ་བནྡྷ་(0.20),YES,,
garlic,སྐྱ་སྒོགཔ་,medium,0.75,16,སྐྱ་སྒོགཔ་(0.75) | དྲིམ་(0.19) | དགའ(0.25),YES,,
ginger,ས་སྒ་,medium,0.50,6,ས་སྒ་(0.50) | སྒའི་ཛིང་(0.17) | གོ་མར་(0.17),YES,,
radish,,MISSING,,1,,YES - not in corpus,,
turnip,གཡུང་རྡོག་,high,1.00,4,གཡུང་རྡོག་(1.00) | གནོད་འབུབ་(0.25) | ར་ཏོ་(0.50),,,
pumpkin,ཀ་ཀུར་,low,0.25,8,ཀ་ཀུར་(0.25) | ཀ་ཀུ་རུ་(0.62) | སྦོམ(0.25),YES,,
gourd,,MISSING,,0,,YES - not in corpus,,
bitter gourd,,MISSING,,0,,YES - not in corpus,,
bottle gourd,,MISSING,,0,,YES - not in corpus,,
beans,སྲནམ་ཅུམ་,medium,0.58,12,སྲནམ་ཅུམ་(0.58) | ཀཱ་ཕིའི་(0.17) | སོན་(0.25),YES,,
peas,,MISSING,,2,,YES - not in corpus,,
mushroom,ཤ་མུ་,high,1.00,9,ཤ་མུ་(1.00) | འཛུགས་སྐྱོང་(0.22) | བྲོཝ་(0.22),,,
cauliflower,,MISSING,,0,,YES - not in corpus,,
broccoli,འཚོ་ཐལ་ཐལ་,low,0.20,5,འཚོ་ཐལ་ཐལ་(0.20) | འཁོལ་མི་ཟམ་(0.20) | བོརོ་ཀོལི(0.20),YES,,
cucumber,གོན་ཅུང་,low,0.33,6,གོན་ཅུང་(0.33) | རིག་མཐུནམ་(0.17) | ཝ་ཊར་ཀིརིསི་(0.17),YES,,
eggplant,,MISSING,,1,,YES - not in corpus,,
brinjal,,MISSING,,2,,YES - not in corpus,,
lettuce,ཧོ་བསྒྱས་,low,0.25,4,ཧོ་བསྒྱས་(0.25) | པད་ཚོད་(1.00) | ཧོ་སྒྱེས་(0.75),YES,,
asparagus,,MISSING,,1,,YES - not in corpus,,
beetroot,,MISSING,,0,,YES - not in corpus,,
celery,,MISSING,,1,,YES - not in corpus,,
leek,,MISSING,,1,,YES - not in corpus,,
shallot,,MISSING,,0,,YES - not in corpus,,
sweet potato,,MISSING,,1,,YES - not in corpus,,
yam,,MISSING,,0,,YES - not in corpus,,
taro,,MISSING,,1,,YES - not in corpus,,
bamboo shoot,,MISSING,,0,,YES - not in corpus,,
fern,,MISSING,,2,,YES - not in corpus,,
nettle,,MISSING,,0,,YES - not in corpus,,
mustard leaf,,MISSING,,0,,YES - not in corpus,,
coriander,,MISSING,,1,,YES - not in corpus,,
mint,ཨེཎ་ཊི་,low,0.25,4,ཨེཎ་ཊི་(0.25) | ཨུ་ཤི་ལ་(0.25) | ངོ་གོང་(0.25),YES,,
parsley,,MISSING,,1,,YES - not in corpus,,
fenugreek,,MISSING,,0,,YES - not in corpus,,
chayote,,MISSING,,0,,YES - not in corpus,,
okra,,MISSING,,0,,YES - not in corpus,,
capsicum,,MISSING,,1,,YES - not in corpus,,
corn,གེ་ཟ་,high,0.80,10,གེ་ཟ་(0.80) | འཕྲོད(0.20) | ཨོ་ལ་(0.20),,,
maize,མོན་བྱཱ་,low,0.20,5,མོན་བྱཱ་(0.20) | རི་ཕག་(0.20) | གེ་ཟ་(1.00),YES,,
squash,,MISSING,,2,,YES - not in corpus,,
turmeric,,MISSING,,0,,YES - not in corpus,,
